date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,fiscalYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfExchangeRateChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,companyName
2025-09-30,MSFT,USD,0000789019,"",2025-10-29 16:10:48,2026,Q1,27747000000,13061000000,2491000000,2983000000,15684000000,16490000000,-192000000,-614000000,0,-16909000000,45057000000,-19394000000,-578000000,-17671000000,9293000000,"","","","",-5650000000,"","","","",4816000000,28849000000,24033000000,45057000000,-19394000000,25663000000,Microsoft
2024-09-30,MSFT,USD,0000789019,"",2024-10-30 16:07:17,2025,Q1,24667000000,7383000000,-1433000000,2832000000,856000000,14037000000,-373000000,-916000000,-11892000000,-125000000,34180000000,-14923000000,-1849000000,-1620000000,4104000000,"","","","",-4107000000,"","","","",2525000000,20840000000,18315000000,34180000000,-14923000000,19257000000,Microsoft
2023-09-30,MSFT,USD,0000789019,"",2023-10-24 16:07:40,2024,Q1,22291000000,3921000000,-568000000,2507000000,2418000000,11034000000,-505000000,1214000000,-9325000000,14000000,30583000000,-9917000000,-1186000000,-8460000000,21048000000,"","","","",-4831000000,"","","","",45748000000,80452000000,34704000000,30583000000,-9917000000,20666000000,Microsoft
2022-09-30,MSFT,USD,0000789019,"",2022-10-25 16:08:55,2023,Q1,17556000000,2790000000,-1191000000,2192000000,1873000000,11729000000,-543000000,-1567000000,-7746000000,-22000000,23198000000,-6283000000,-349000000,-5013000000,9373000000,"","","","",-5573000000,"","","","",8953000000,22884000000,13931000000,23198000000,-6283000000,16915000000,Microsoft
2021-09-30,MSFT,USD,0000789019,"",2021-10-26 16:11:30,2022,Q1,20505000000,3212000000,-5970000000,1702000000,5455000000,10486000000,-777000000,-471000000,-3783000000,-364000000,24540000000,-5810000000,-1206000000,-10309000000,14492000000,"","","","",-7684000000,"","","","",4941000000,19165000000,14224000000,24540000000,-5810000000,18730000000,Microsoft
2024-12-31,MSFT,USD,0000789019,"",2025-01-29 16:11:54,2025,Q2,24108000000,6827000000,-1158000000,3089000000,-11551000000,-5978000000,711000000,958000000,-7242000000,976000000,22291000000,-15804000000,-1405000000,-2050000000,5163000000,"","","","",-4986000000,"","","","",-3358000000,17482000000,20840000000,22291000000,-15804000000,6487000000,Microsoft
2023-12-31,MSFT,USD,0000789019,"",2024-01-30 16:05:46,2024,Q2,21870000000,5959000000,-1702000000,2828000000,-10300000000,-2951000000,1474000000,-2521000000,-6302000000,198000000,18853000000,-9735000000,-65029000000,-4258000000,5750000000,"","","","",-4000000000,"","","","",-63147000000,17305000000,80452000000,18853000000,-9735000000,9118000000,Microsoft
2022-12-31,MSFT,USD,0000789019,"",2023-01-24 16:34:20,2023,Q2,16425000000,3648000000,-1305000000,2538000000,-10347000000,-3164000000,1305000000,-2058000000,-6430000000,214000000,11173000000,-6274000000,-679000000,-11599000000,11703000000,"","","","",-5459000000,"","","","",-7238000000,15646000000,22884000000,11173000000,-6274000000,4899000000,Microsoft
2021-12-31,MSFT,USD,0000789019,"",2022-01-25 16:09:04,2022,Q2,18765000000,3496000000,183000000,1897000000,-9554000000,-5543000000,394000000,235000000,-4640000000,-307000000,14480000000,-5865000000,-850000000,-2505000000,8148000000,"","","","",-7433000000,"","","","",1439000000,20604000000,19165000000,14480000000,-5865000000,8615000000,Microsoft
2020-12-31,MSFT,USD,0000789019,"",2021-01-26 16:09:34,2021,Q2,15463000000,2761000000,-17000000,1566000000,-6903000000,-4008000000,788000000,33000000,-3716000000,-354000000,12516000000,-4174000000,-415000000,-15092000000,17685000000,"","","","",-6535000000,"","","","",-2773000000,14432000000,17205000000,12516000000,-4174000000,8342000000,Microsoft
