date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil,companyName
2025-03-31,GOOGL,USD,0001652044,2025-04-25,2025-04-24 21:05:29,2025,Q1,90234000000,36361000000,53873000000,13556000000,3539000000,6172000000,9711000000,0,23267000000,59628000000,967000000,1001000000,34000000,4487000000,46310000000,41823000000,-11217000000,30606000000,11183000000,41789000000,7249000000,34540000000,0,0,34540000000,0,34540000000,2.84,2.81,12183000000,12291000000,Alphabet Inc. (Class A)
2024-03-31,GOOGL,USD,0001652044,2024-04-26,2024-04-25 20:22:11,2024,Q1,80539000000,33712000000,46827000000,11903000000,3026000000,6426000000,9452000000,0,21355000000,55067000000,967000000,1061000000,94000000,3413000000,31822000000,28409000000,-2937000000,25472000000,2843000000,28315000000,4653000000,23662000000,0,0,23662000000,0,23662000000,1.91,1.89,12415000000,12527000000,Alphabet Inc. (Class A)
2023-03-31,GOOGL,USD,0001652044,2023-04-26,2023-04-25 20:15:00,2023,Q1,69787000000,30612000000,39175000000,11468000000,3759000000,6533000000,10292000000,0,21760000000,52372000000,717000000,797000000,80000000,2635000000,20920000000,18285000000,-870000000,17415000000,790000000,18205000000,3154000000,15051000000,0,0,15051000000,0,15051000000,1.18,1.17,12823000000,12823000000,Alphabet Inc. (Class A)
2022-03-31,GOOGL,USD,0001652044,2022-04-27,2022-04-26 20:51:20,2022,Q1,68011000000,29599000000,38412000000,9119000000,3374000000,5825000000,9199000000,0,18318000000,47917000000,331000000,414000000,83000000,3782000000,22799000000,19017000000,1077000000,20094000000,-1160000000,18934000000,2498000000,16436000000,0,0,16436000000,0,16436000000,1.24,1.23,13203000000,13351013992,Alphabet Inc. (Class A)
2021-03-31,GOOGL,USD,0001652044,2021-04-28,2021-04-27 19:17:57,2021,Q1,55314000000,24103000000,31211000000,7485000000,2773000000,4516000000,7289000000,0,14774000000,38877000000,269000000,345000000,76000000,2753000000,24112000000,21359000000,-4922000000,16437000000,4846000000,21283000000,3353000000,17930000000,0,0,17930000000,0,17930000000,1.33,1.31,13464393941,13641413861,Alphabet Inc. (Class A)
2025-06-30,GOOGL,USD,0001652044,2025-07-24,2025-07-23 19:44:01,2025,Q2,96428000000,39039000000,57389000000,13808000000,5209000000,7101000000,12310000000,0,26118000000,65157000000,789000000,1050000000,261000000,4998000000,39192000000,34194000000,-2923000000,31271000000,2662000000,33933000000,5737000000,28196000000,0,0,28196000000,0,28196000000,2.33,2.31,12122000000,12198000000,Alphabet Inc. (Class A)
2024-06-30,GOOGL,USD,0001652044,2024-07-24,2024-07-23 19:12:07,2024,Q2,84742000000,35507000000,49235000000,11860000000,3158000000,6792000000,9950000000,0,21810000000,57317000000,1023000000,1090000000,67000000,3708000000,31326000000,27618000000,-193000000,27425000000,126000000,27551000000,3932000000,23619000000,0,0,23619000000,0,23619000000,1.91,1.89,12343000000,12495000000,Alphabet Inc. (Class A)
2023-06-30,GOOGL,USD,0001652044,2023-07-26,2023-07-25 19:13:26,2023,Q2,74604000000,31916000000,42688000000,10588000000,3481000000,6781000000,10262000000,0,20850000000,52766000000,849000000,892000000,43000000,2824000000,24770000000,21946000000,-108000000,21838000000,65000000,21903000000,3535000000,18368000000,0,0,18368000000,0,18368000000,1.45,1.44,12668000000,12764000000,Alphabet Inc. (Class A)
2022-06-30,GOOGL,USD,0001652044,2022-07-27,2022-07-26 19:29:36,2022,Q2,69685000000,30104000000,39581000000,9841000000,3657000000,6630000000,10287000000,0,20128000000,50232000000,403000000,486000000,83000000,3899000000,22996000000,19097000000,356000000,19453000000,-439000000,19014000000,3012000000,16002000000,0,0,16002000000,0,16002000000,1.22,1.21,13168000000,13238994042,Alphabet Inc. (Class A)
2021-06-30,GOOGL,USD,0001652044,2021-07-28,2021-07-27 20:16:30,2021,Q2,61880000000,26227000000,35653000000,7675000000,3341000000,5276000000,8617000000,0,16292000000,42519000000,313000000,389000000,76000000,2945000000,25006000000,22061000000,-2700000000,19361000000,2624000000,21985000000,3460000000,18525000000,0,0,18525000000,0,18525000000,1.38,1.36,13379154000,13592234000,Alphabet Inc. (Class A)
2025-09-30,GOOGL,USD,0001652044,2025-10-30,2025-10-29 21:55:01,2025,Q3,102346000000,41369000000,60977000000,15151000000,7393000000,7205000000,14598000000,0,29749000000,71118000000,933000000,1076000000,143000000,5611000000,49741000000,44130000000,-12902000000,31228000000,12759000000,43987000000,9008000000,34979000000,0,0,34979000000,0,34979000000,2.89,2.87,12086000000,12203000000,Alphabet Inc. (Class A)
2024-09-30,GOOGL,USD,0001652044,2024-10-30,2024-10-29 19:33:10,2024,Q3,88268000000,36474000000,51794000000,12447000000,3599000000,7227000000,10826000000,0,23273000000,59747000000,1189000000,1243000000,54000000,3985000000,35745000000,31760000000,-3239000000,28521000000,3185000000,31706000000,5405000000,26301000000,0,0,26301000000,0,26301000000,2.14,2.12,12290000000,12419000000,Alphabet Inc. (Class A)
2023-09-30,GOOGL,USD,0001652044,2023-10-25,2023-10-24 18:39:13,2023,Q3,76693000000,33229000000,43464000000,11258000000,3979000000,6884000000,10863000000,0,22121000000,55350000000,950000000,1066000000,116000000,3171000000,24484000000,21313000000,30000000,21343000000,-146000000,21197000000,1508000000,19689000000,0,0,19689000000,0,19689000000,1.57,1.55,12581000000,12696000000,Alphabet Inc. (Class A)
2022-09-30,GOOGL,USD,0001652044,2022-10-26,2022-10-25 21:32:59,2022,Q3,69092000000,31158000000,37934000000,10273000000,3597000000,6929000000,10526000000,0,20799000000,51957000000,514000000,615000000,101000000,4046000000,20380000000,16334000000,801000000,17135000000,-902000000,16233000000,2323000000,13910000000,0,0,13910000000,0,13910000000,1.07,1.06,13000000000,13097000000,Alphabet Inc. (Class A)
2021-09-30,GOOGL,USD,0001652044,2021-10-27,2021-10-26 19:47:06,2021,Q3,65118000000,27621000000,37497000000,7694000000,3256000000,5516000000,8772000000,0,16466000000,44087000000,310000000,387000000,77000000,3304000000,26445000000,23141000000,-2110000000,21031000000,2033000000,23064000000,4128000000,18936000000,0,0,18936000000,0,18936000000,1.42,1.4,13315154008,13530373911,Alphabet Inc. (Class A)
2024-12-31,GOOGL,USD,0001652044,2025-02-05,2025-02-04 20:41:40,2024,Q4,96469000000,40613000000,55856000000,13116000000,4405000000,7363000000,11768000000,0,24884000000,65497000000,1035000000,1088000000,53000000,4205000000,36501000000,32296000000,-1324000000,30972000000,1271000000,32243000000,5707000000,26536000000,0,0,26536000000,0,26536000000,2.17,2.15,12228000000,12348000000,Alphabet Inc. (Class A)
2023-12-31,GOOGL,USD,0001652044,2024-01-31,2024-01-30 21:43:43,2023,Q4,86310000000,37575000000,48735000000,12113000000,5206000000,7719000000,12925000000,0,25038000000,62613000000,1041000000,1110000000,69000000,1563000000,26044000000,24481000000,-784000000,23697000000,715000000,24412000000,3725000000,20687000000,0,0,20687000000,0,20687000000,1.66,1.64,12488000000,12602000000,Alphabet Inc. (Class A)
2022-12-31,GOOGL,USD,0001652044,2023-02-03,2023-02-02 21:23:45,2022,Q4,76048000000,35342000000,40706000000,10267000000,5096000000,7183000000,12279000000,0,22546000000,57888000000,569000000,659000000,90000000,4201000000,21438000000,17237000000,923000000,18160000000,-1013000000,17147000000,3523000000,13624000000,0,0,13624000000,0,13624000000,1.06,1.05,12897000000,12947000000,Alphabet Inc. (Class A)
2021-12-31,GOOGL,USD,0001652044,2022-02-02,2022-02-01 21:08:02,2021,Q4,75325000000,32988000000,42337000000,8708000000,4140000000,7604000000,11744000000,0,20452000000,53440000000,261000000,378000000,117000000,3439000000,27958000000,24519000000,-2634000000,21885000000,2517000000,24402000000,3760000000,20642000000,0,0,20642000000,0,20642000000,1.56,1.53,13253254036,13449853947,Alphabet Inc. (Class A)
