symbol,fiscalyear,Total_Revenue_Billions_USD,Total_NetIncome_Billions_USD,current_market_cap,current_price
AAPL,2025,416.16,112.01,4229287773698,286.22
AAPL,2024,391.04,93.74,4229287773698,286.22
AAPL,2023,383.29,97.0,4229287773698,286.22
AAPL,2022,394.33,99.8,4229287773698,286.22
AAPL,2021,365.82,94.68,4229287773698,286.22
BAC,2025,141.88,22.98,388420201962,53.19
BAC,2024,192.43,27.13,388420201962,53.19
BAC,2023,171.91,26.52,388420201962,53.19
BAC,2022,115.05,27.53,388420201962,53.19
BAC,2021,93.85,31.98,388420201962,53.19
BAC,2020,21.31,5.47,388420201962,53.19
C,2025,127.45,11.84,192860522957,103.65
C,2024,170.62,12.68,192860522957,103.65
C,2023,156.78,9.23,192860522957,103.65
C,2022,100.38,14.85,192860522957,103.65
C,2021,79.19,21.95,192860522957,103.65
C,2020,19.08,3.98,192860522957,103.65
COST,2025,275.24,8.1,407774471575,920.1072
COST,2024,254.45,7.37,407774471575,920.1072
COST,2023,242.29,6.29,407774471575,920.1072
COST,2022,226.95,5.84,407774471575,920.1072
COST,2021,195.93,5.01,407774471575,920.1072
CVX,2025,140.15,9.54,300342897341,150.22
CVX,2024,193.41,17.66,300342897341,150.22
CVX,2023,196.91,21.37,300342897341,150.22
CVX,2022,235.72,35.47,300342897341,150.22
CVX,2021,155.61,15.63,300342897341,150.22
CVX,2020,24.84,-0.67,300342897341,150.22
GOOGL,2025,289.01,97.72,3804079315086,315.23
GOOGL,2024,350.02,100.12,3804079315086,315.23
GOOGL,2023,307.39,73.8,3804079315086,315.23
GOOGL,2022,282.84,59.97,3804079315086,315.23
GOOGL,2021,257.64,76.03,3804079315086,315.23
GOOGL,2020,56.9,15.23,3804079315086,315.23
GS,2025,100.11,12.56,256168080135,816.54999
GS,2024,126.85,14.28,256168080135,816.54999
GS,2023,108.42,8.52,256168080135,816.54999
GS,2022,68.71,11.26,256168080135,816.54999
GS,2021,64.99,21.64,256168080135,816.54999
GS,2020,13.3,4.51,256168080135,816.54999
HOOD,2025,3.19,1.28,112622947295,127.25
HOOD,2024,2.95,1.41,112622947295,127.25
HOOD,2023,1.87,-0.54,112622947295,127.25
HOOD,2022,1.36,-1.03,112622947295,127.25
HOOD,2021,1.81,-3.69,112622947295,127.25
HOOD,2020,0.32,0.01,112622947295,127.25
JPM,2025,210.72,44.02,839076645985,308.2277
JPM,2024,270.77,58.47,839076645985,308.2277
JPM,2023,236.61,49.55,839076645985,308.2277
JPM,2022,154.74,37.68,839076645985,308.2277
JPM,2021,127.24,48.33,839076645985,308.2277
JPM,2020,30.56,12.14,839076645985,308.2277
MRO,2024,5.0,0.93,15971155043,28.55
MRO,2023,6.41,1.55,15971155043,28.55
MRO,2022,7.54,3.61,15971155043,28.55
MRO,2021,5.6,0.95,15971155043,28.55
MRO,2020,3.1,-1.45,15971155043,28.55
MRO,2019,1.23,-0.02,15971155043,28.55
MSFT,2026,77.67,27.75,3639870564064.9995,489.69
